0.000000,-0.000024,-0.000090,-0.000181,-0.000277,-0.000360,-0.000423,-0.000468,-0.000500,-0.000526,-0.000546,-0.000561,-0.000565,-0.000560,-0.000547,-0.000535,-0.000530,-0.000535,-0.000547,-0.000560,-0.000565,-0.000561,-0.000546,-0.000526,-0.000500,-0.000468,-0.000423,-0.000360,-0.000277,-0.000181,-0.000090,-0.000024,0.000000
-0.000024,-0.000092,-0.000210,-0.000372,-0.000540,-0.000685,-0.000795,-0.000874,-0.000933,-0.000984,-0.001028,-0.001059,-0.001067,-0.001053,-0.001025,-0.000999,-0.000988,-0.000999,-0.001025,-0.001053,-0.001067,-0.001059,-0.001028,-0.000984,-0.000933,-0.000874,-0.000795,-0.000685,-0.000540,-0.000372,-0.000210,-0.000092,-0.000024
-0.000090,-0.000210,-0.000290,-0.000397,-0.000505,-0.000594,-0.000661,-0.000713,-0.000759,-0.000807,-0.000850,-0.000878,-0.000881,-0.000857,-0.000817,-0.000781,-0.000766,-0.000781,-0.000817,-0.000857,-0.000881,-0.000878,-0.000850,-0.000807,-0.000759,-0.000713,-0.000661,-0.000594,-0.000505,-0.000397,-0.000290,-0.000210,-0.000090
-0.000181,-0.000372,-0.000397,-0.000429,-0.000458,-0.000480,-0.000498,-0.000519,-0.000545,-0.000575,-0.000597,-0.000600,-0.000574,-0.000524,-0.000463,-0.000414,-0.000395,-0.000414,-0.000463,-0.000524,-0.000574,-0.000600,-0.000597,-0.000575,-0.000545,-0.000519,-0.000498,-0.000480,-0.000458,-0.000429,-0.000397,-0.000372,-0.000181
-0.000277,-0.000540,-0.000505,-0.000458,-0.000412,-0.000380,-0.000363,-0.000359,-0.000359,-0.000347,-0.000312,-0.000248,-0.000159,-0.000059,0.000034,0.000100,0.000124,0.000100,0.000034,-0.000059,-0.000159,-0.000248,-0.000312,-0.000347,-0.000359,-0.000359,-0.000363,-0.000380,-0.000412,-0.000458,-0.000505,-0.000540,-0.000277
-0.000360,-0.000685,-0.000594,-0.000480,-0.000380,-0.000314,-0.000285,-0.000269,-0.000234,-0.000154,-0.000022,0.000154,0.000344,0.000519,0.000656,0.000742,0.000771,0.000742,0.000656,0.000519,0.000344,0.000154,-0.000022,-0.000154,-0.000234,-0.000269,-0.000285,-0.000314,-0.000380,-0.000480,-0.000594,-0.000685,-0.000360
-0.000423,-0.000795,-0.000661,-0.000498,-0.000363,-0.000285,-0.000255,-0.000227,-0.000148,0.000020,0.000279,0.000592,0.000904,0.001174,0.001367,0.001478,0.001514,0.001478,0.001367,0.001174,0.000904,0.000592,0.000279,0.000020,-0.000148,-0.000227,-0.000255,-0.000285,-0.000363,-0.000498,-0.000661,-0.000795,-0.000423
-0.000468,-0.000874,-0.000713,-0.000545,-0.000359,-0.000299,-0.000227,-0.000173,-0.000037,0.000229,0.000611,0.001061,0.001500,0.001864,0.002107,0.002264,0.002310,0.002264,0.002107,0.001864,0.001500,0.001061,0.000611,0.000229,-0.000037,-0.000173,-0.000227,-0.000299,-0.000359,-0.000545,-0.000713,-0.000874,-0.000468
-0.000500,-0.000933,-0.000759,-0.000545,-0.000359,-0.000234,-0.000148,-0.000037,0.000177,0.000531,0.001016,0.001569,0.002107,0.002556,0.002875,0.003060,0.003119,0.003060,0.002875,0.002556,0.002107,0.001569,0.001016,0.000531,0.000177,-0.000037,-0.000148,-0.000234,-0.000359,-0.000545,-0.000759,-0.000933,-0.000500
-0.000526,-0.000984,-0.000807,-0.000575,-0.000347,-0.000154,0.000020,0.000229,0.000531,0.000961,0.001510,0.002122,0.002718,0.003232,0.003610,0.003840,0.003916,0.003840,0.003610,0.003232,0.002718,0.002122,0.001510,0.000961,0.000531,0.000229,0.000020,-0.000154,-0.000347,-0.000575,-0.000807,-0.000984,-0.000526
-0.000546,-0.001028,-0.000850,-0.000597,-0.000312,-0.000022,0.000279,0.000611,0.001016,0.001510,0.002090,0.002719,0.003341,0.003894,0.004324,0.004595,0.004687,0.004595,0.004324,0.003894,0.003341,0.002719,0.002090,0.001510,0.001016,0.000611,0.000279,-0.000022,-0.000312,-0.000597,-0.000850,-0.001028,-0.000546
-0.000561,-0.001059,-0.000878,-0.000600,-0.000022,0.000154,0.000592,0.001061,0.001569,0.002122,0.002719,0.003347,0.003973,0.004546,0.005016,0.005322,0.005428,0.005322,0.005016,0.004546,0.003973,0.003347,0.002719,0.002122,0.001569,0.001061,0.000592,0.000154,-0.000022,-0.000600,-0.000878,-0.001059,-0.000561
-0.000565,-0.001067,-0.000881,-0.000574,-0.000159,0.000344,0.000904,0.001500,0.002107,0.002718,0.003341,0.003973,0.004602,0.005191,0.005682,0.006010,0.006126,0.006010,0.005682,0.005191,0.004602,0.003973,0.003341,0.002718,0.002107,0.001500,0.000904,0.000344,-0.000159,-0.000574,-0.000881,-0.001067,-0.000565
-0.000560,-0.001053,-0.000857,-0.000524,-0.000059,0.000519,0.001174,0.001864,0.002556,0.003326,0.003894,0.004546,0.005191,0.005791,0.006294,0.006630,0.006752,0.006630,0.006294,0.005791,0.005191,0.004546,0.003894,0.003326,0.002556,0.001864,0.001174,0.000519,-0.000059,-0.000524,-0.000857,-0.001053,-0.000560
-0.000547,-0.001025,-0.000817,-0.000463,0.000034,0.000656,0.001367,0.002107,0.002875,0.003718,0.004324,0.005016,0.005682,0.006294,0.006807,0.007138,0.007259,0.007138,0.006807,0.006294,0.005682,0.005016,0.004324,0.003718,0.002875,0.002107,0.001367,0.000656,0.000034,-0.000463,-0.000817,-0.001025,-0.000547
-0.000535,-0.000999,-0.000781,-0.000414,0.000100,0.000742,0.001478,0.002264,0.003060,0.003840,0.004595,0.005322,0.006126,0.006807,0.007138,0.007475,0.007593,0.007475,0.007138,0.006807,0.006126,0.005322,0.004595,0.003840,0.003060,0.002264,0.001478,0.000742,0.000100,-0.000414,-0.000781,-0.000999,-0.000535
-0.000530,-0.000988,-0.000766,-0.000395,0.000124,0.000771,0.001514,0.002310,0.003119,0.003916,0.004687,0.005428,0.006126,0.006752,0.007259,0.007593,0.007709,0.007593,0.007259,0.006752,0.006126,0.005428,0.004687,0.003916,0.003119,0.002310,0.001514,0.000771,0.000124,-0.000395,-0.000766,-0.000988,-0.000530
-0.000535,-0.000999,-0.000781,-0.000414,0.000100,0.000742,0.001478,0.002264,0.003060,0.003840,0.004595,0.005322,0.006126,0.006807,0.007138,0.007475,0.007593,0.007475,0.007138,0.006807,0.006126,0.005322,0.004595,0.003840,0.003060,0.002264,0.001478,0.000742,0.000100,-0.000414,-0.000781,-0.000999,-0.000535
-0.000547,-0.001025,-0.000817,-0.000463,0.000034,0.000656,0.001367,0.002107,0.002875,0.003718,0.004324,0.005016,0.005682,0.006294,0.006807,0.007138,0.007259,0.007138,0.006807,0.006294,0.005682,0.005016,0.004324,0.003718,0.002875,0.002107,0.001367,0.000656,0.000034,-0.000463,-0.000817,-0.001025,-0.000547
-0.000560,-0.001053,-0.000857,-0.000524,-0.000059,0.000519,0.001174,0.001864,0.002556,0.003326,0.003894,0.004546,0.005191,0.005791,0.006294,0.006630,0.006752,0.006630,0.006294,0.005791,0.005191,0.004546,0.003894,0.003326,0.002556,0.001864,0.001174,0.000519,-0.000059,-0.000524,-0.000857,-0.001053,-0.000560
-0.000565,-0.001067,-0.000881,-0.000574,-0.000159,0.000344,0.000904,0.001500,0.002107,0.002718,0.003341,0.003973,0.004602,0.005191,0.005682,0.006010,0.006126,0.006010,0.005682,0.005191,0.004602,0.003973,0.003341,0.002718,0.002107,0.001500,0.000904,0.000344,-0.000159,-0.000574,-0.000881,-0.001067,-0.000565
-0.000561,-0.001059,-0.000878,-0.000600,-0.000022,0.000154,0.000592,0.001061,0.001569,0.002122,0.002719,0.003347,0.003973,0.004546,0.005016,0.005322,0.005428,0.005322,0.005016,0.004546,0.003973,0.003347,0.002719,0.002122,0.001569,0.001061,0.000592,0.000154,-0.000022,-0.000600,-0.000878,-0.001059,-0.000561
-0.000546,-0.001028,-0.000850,-0.000597,-0.000312,-0.000022,0.000279,0.000611,0.001016,0.001510,0.002090,0.002719,0.003341,0.003894,0.004324,0.004595,0.004687,0.004595,0.004324,0.003894,0.003341,0.002719,0.002090,0.001510,0.001016,0.000611,0.000279,-0.000022,-0.000312,-0.000597,-0.000850,-0.001028,-0.000546
-0.000526,-0.000984,-0.000807,-0.000575,-0.000347,-0.000154,0.000020,0.000229,0.000531,0.000961,0.001510,0.002122,0.002718,0.003232,0.003610,0.003840,0.003916,0.003840,0.003610,0.003232,0.002718,0.002122,0.001510,0.000961,0.000531,0.000229,0.000020,-0.000154,-0.000347,-0.000575,-0.000807,-0.000984,-0.000526
-0.000500,-0.000933,-0.000759,-0.000545,-0.000359,-0.000234,-0.000148,-0.000037,0.000177,0.000531,0.001016,0.001569,0.002107,0.002556,0.002875,0.003060,0.003119,0.003060,0.002875,0.002556,0.002107,0.001569,0.001016,0.000531,0.000177,-0.000037,-0.000148,-0.000234,-0.000359,-0.000545,-0.000759,-0.000933,-0.000500
-0.000468,-0.000874,-0.000713,-0.000545,-0.000359,-0.000299,-0.000227,-0.000173,-0.000037,0.000229,0.000611,0.001061,0.001500,0.001864,0.002107,0.002264,0.002310,0.002264,0.002107,0.001864,0.001500,0.001061,0.000611,0.000229,-0.000037,-0.000173,-0.000227,-0.000299,-0.000359,-0.000545,-0.000713,-0.000874,-0.000468
-0.000423,-0.000795,-0.000661,-0.000498,-0.000363,-0.000285,-0.000255,-0.000227,-0.000148,0.000020,0.000279,0.000592,0.000904,0.001174,0.001367,0.001478,0.001514,0.001478,0.001367,0.001174,0.000904,0.000592,0.000279,0.000020,-0.000148,-0.000227,-0.000255,-0.000285,-0.000363,-0.000498,-0.000661,-0.000795,-0.000423
-0.000360,-0.000685,-0.000594,-0.000480,-0.000380,-0.000314,-0.000285,-0.000269,-0.000234,-0.000154,-0.000022,0.000154,0.000344,0.000519,0.000656,0.000742,0.000771,0.000742,0.000656,0.000519,0.000344,0.000154,-0.000022,-0.000154,-0.000234,-0.000269,-0.000285,-0.000314,-0.000380,-0.000480,-0.000594,-0.000685,-0.000360
-0.000277,-0.000540,-0.000505,-0.000458,-0.000412,-0.000380,-0.000363,-0.000359,-0.000359,-0.000347,-0.000312,-0.000248,-0.000159,-0.000059,0.000034,0.000100,0.000124,0.000100,0.000034,-0.000059,-0.000159,-0.000248,-0.000312,-0.000347,-0.000359,-0.000359,-0.000363,-0.000380,-0.000412,-0.000458,-0.000505,-0.000540,-0.000277
-0.000181,-0.000372,-0.000397,-0.000429,-0.000458,-0.000480,-0.000498,-0.000519,-0.000545,-0.000575,-0.000597,-0.000600,-0.000574,-0.000524,-0.000463,-0.000414,-0.000395,-0.000414,-0.000463,-0.000524,-0.000574,-0.000600,-0.000597,-0.000575,-0.000545,-0.000519,-0.000498,-0.000480,-0.000458,-0.000429,-0.000397,-0.000372,-0.000181
-0.000090,-0.000210,-0.000290,-0.000397,-0.000505,-0.000594,-0.000661,-0.000713,-0.000759,-0.000807,-0.000850,-0.000878,-0.000881,-0.000857,-0.000817,-0.000781,-0.000766,-0.000781,-0.000817,-0.000857,-0.000881,-0.000878,-0.000850,-0.000807,-0.000759,-0.000713,-0.000661,-0.000594,-0.000505,-0.000397,-0.000290,-0.000210,-0.000090
-0.000024,-0.000092,-0.000210,-0.000372,-0.000540,-0.000685,-0.000795,-0.000874,-0.000933,-0.000984,-0.001028,-0.001059,-0.001067,-0.001053,-0.001025,-0.000999,-0.000988,-0.000999,-0.001025,-0.001053,-0.001067,-0.001059,-0.001028,-0.000984,-0.000933,-0.000874,-0.000795,-0.000685,-0.000540,-0.000372,-0.000210,-0.000092,-0.000024
0.000000,-0.000024,-0.000090,-0.000181,-0.000277,-0.000360,-0.000423,-0.000468,-0.000500,-0.000526,-0.000546,-0.000561,-0.000565,-0.000560,-0.000547,-0.000535,-0.000530,-0.000535,-0.000547,-0.000560,-0.000565,-0.000561,-0.000546,-0.000526,-0.000500,-0.000468,-0.000423,-0.000360,-0.000277,-0.000181,-0.000090,-0.000024,0.000000
